NVC2.1_camp_name,year,loc_cow,targ_cow,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_camp_structure,NVC2.1_sec_defect,NVC2.1_state_defect,NVC2.1_success,NVC2.1_camp_duration,NVC2.1_camp_goals,NVC2.1_progress
Active Forces,1991,580,580,1,400000,0,1,0,0,3,0,3
Active Forces,1992,580,580,1,-99,0,1,0,0,3,0,3
Active Forces,1993,580,580,1,-99,0,1,0,1,3,0,4
Afar insurgency,1991,522,522,0,3000,1,0,1,0,4,0,1
Afar insurgency,1992,522,522,0,4500,1,0,1,0,4,0,2
Afar insurgency,1993,522,522,0,4500,1,0,0,0,4,0,0
Afar insurgency,1994,522,522,0,4500,1,0,0,0,4,0,5
Afghan Resistance,1979,700,365,0,15000,0,1,0,0,10,5,0
Afghan Resistance,1980,700,365,0,44500,0,1,0,0,10,5,0
Afghan Resistance,1981,700,365,0,45500,0,1,0,0,10,5,0
Afghan Resistance,1982,700,365,0,45500,0,1,0,0,10,5,0
Afghan Resistance,1983,700,365,0,59500,0,1,0,0,10,5,2
Afghan Resistance,1984,700,365,0,59500,0,1,0,0,10,5,0
Afghan Resistance,1985,700,365,0,62500,0,1,0,0,10,5,2
Afghan Resistance,1986,700,365,0,62500,0,1,0,0,10,5,3
Afghan Resistance,1987,700,365,0,62500,0,1,0,0,10,5,3
Afghan Resistance,1988,700,365,0,62500,0,1,0,1,10,5,4
Afghans,1978,700,700,0,10000,0,1,0,1,1,0,4
Albania Anti-Communist,1989,339,339,1,-99,0,0,0,0,3,0,2
Albania Anti-Communist,1990,339,339,1,15000,0,0,1,0,3,0,3
Albania Anti-Communist,1991,339,339,1,300000,1,0,1,1,3,0,4
Algerian Revolt/ National Liberation Front,1952,615,220,1,-99,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1953,615,220,1,-99,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1954,615,220,0,1000,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1955,615,220,0,15000,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1956,615,220,0,37600,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1957,615,220,0,37600,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1958,615,220,0,37600,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1959,615,220,0,37600,1,-99,0,0,11,5,2
Algerian Revolt/ National Liberation Front,1960,615,220,0,37600,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1961,615,220,0,37600,1,-99,0,0,11,5,0
Algerian Revolt/ National Liberation Front,1962,615,220,0,37600,1,-99,0,1,11,5,4
Anti-Arap Moi,1990,501,501,1,6000,1,0,0,0,2,0,1
Anti-Arap Moi,1991,501,501,1,4000,1,0,0,1,2,0,4
Anti-Banda,1992,553,553,1,5000,0,-99,0,0,2,2,3
